id,first_name,second_name,web_name,element_type,team,now_cost,minutes,goals_scored,assists,expected_goals,expected_assists,clean_sheets,goals_conceded,expected_goals_conceded,saves,bonus,total_points,yellow_cards,red_cards,full_name,position,team_name,cost_millions,minutes_played_flag,goals_per_90,assists_per_90,goal_involvements,goal_involvements_per_90,points_per_million,xg_difference,xa_difference,minutes_share
1,Folarin,Balogun,Balogun,4,1,44,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,Folarin Balogun,Forward,Arsenal,4.4,Low Sample,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2,Cédric,Alves Soares,Cédric,2,1,38,59,0,0,0.0,0.02,0,0,0.39,0,0,3,0,0,Cédric Alves Soares,Defender,Arsenal,3.8,Low Sample,0.0,0.0,0,0.0,0.7894736842105263,0.0,-0.02,1.7251461988304093
3,Mohamed,Elneny,M.Elneny,3,1,44,25,0,1,0.08,0.01,0,0,0.13,0,0,6,0,0,Mohamed Elneny,Midfielder,Arsenal,4.4,Low Sample,0.0,3.5999999999999996,1,3.5999999999999996,1.3636363636363635,-0.08,0.99,0.7309941520467835
4,Fábio,Ferreira Vieira,Fábio Vieira,3,1,54,290,1,3,1.25,0.64,1,2,1.83,0,0,24,0,1,Fábio Ferreira Vieira,Midfielder,Arsenal,5.4,Low Sample,0.3103448275862069,0.9310344827586207,4,1.2413793103448276,4.444444444444444,-0.25,2.36,8.47953216374269
5,Gabriel,dos Santos Magalhães,Gabriel,2,1,54,3042,3,1,4.48,0.65,16,26,26.18,0,8,149,4,0,Gabriel dos Santos Magalhães,Defender,Arsenal,5.4,Sufficient Sample,0.08875739644970415,0.02958579881656805,4,0.1183431952662722,27.59259259259259,-1.4800000000000004,0.35,88.94736842105263
6,Kai,Havertz,Havertz,3,1,76,2627,13,10,12.36,3.88,16,22,21.03,0,15,180,11,0,Kai Havertz,Midfielder,Arsenal,7.6,Sufficient Sample,0.4453749524172059,0.34259611724400457,23,0.7879710696612104,23.68421052631579,0.6400000000000006,6.12,76.81286549707602
8,Gabriel,Fernando de Jesus,G.Jesus,4,1,77,1470,4,7,6.27,3.26,11,11,11.67,0,10,85,6,0,Gabriel Fernando de Jesus,Forward,Arsenal,7.7,Sufficient Sample,0.2448979591836735,0.4285714285714286,11,0.6734693877551021,11.03896103896104,-2.2699999999999996,3.74,42.98245614035088
9,Jorge Luiz,Frello Filho,Jorginho,3,1,53,913,0,2,0.1,1.77,4,11,8.42,0,1,44,1,0,Jorge Luiz Frello Filho,Midfielder,Arsenal,5.3,Sufficient Sample,0.0,0.19715224534501644,2,0.19715224534501644,8.30188679245283,-0.1,0.22999999999999998,26.69590643274854
10,Jakub,Kiwior,Kiwior,2,1,40,942,1,3,0.74,0.6,6,8,5.15,0,1,67,1,0,Jakub Kiwior,Defender,Arsenal,4.0,Sufficient Sample,0.09554140127388534,0.28662420382165604,4,0.38216560509554137,16.75,0.26,2.4,27.54385964912281
11,Marcus,Oliveira Alencar,Marquinhos,3,1,45,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,Marcus Oliveira Alencar,Midfielder,Arsenal,4.5,Low Sample,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
12,Gabriel,Martinelli Silva,Martinelli,3,1,75,2010,6,5,6.36,5.18,10,23,14.88,0,6,118,1,0,Gabriel Martinelli Silva,Midfielder,Arsenal,7.5,Sufficient Sample,0.26865671641791045,0.22388059701492538,11,0.49253731343283585,15.733333333333333,-0.3600000000000003,-0.17999999999999972,58.77192982456141
13,Eddie,Nketiah,Nketiah,4,1,50,1065,5,4,4.65,0.53,6,10,10.21,0,5,71,3,0,Eddie Nketiah,Forward,Arsenal,5.0,Sufficient Sample,0.4225352112676056,0.3380281690140845,9,0.7605633802816901,14.2,0.34999999999999964,3.4699999999999998,31.140350877192986
14,Martin,Ødegaard,Ødegaard,3,1,86,3098,8,11,7.53,10.16,19,23,25.26,0,26,186,2,0,Martin Ødegaard,Midfielder,Arsenal,8.6,Sufficient Sample,0.23240800516462232,0.3195610071013557,19,0.551969012265978,21.627906976744185,0.46999999999999975,0.8399999999999999,90.58479532163743
15,Thomas,Partey,Thomas,3,1,48,785,0,0,0.43,0.58,5,5,8.45,0,0,24,3,0,Thomas Partey,Midfielder,Arsenal,4.8,Sufficient Sample,0.0,0.0,0,0.0,5.0,-0.43,-0.58,22.953216374269005
16,Nicolas,Pépé,Pepe,3,1,49,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,Nicolas Pépé,Midfielder,Arsenal,4.9,Low Sample,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
